,COMPONENT NAME,PART NUMBER,QUANTITY,DESCRIPTION
51,750-AABF : Power Saving Dell Active Power  Controller,HNR52,1,"INFORMATION,DAPC,ENBLPWRSAVINGSMD"
52,770-BBBQ : ReadyRails Sliding Rails Witho ut Cable Management Arm,H4X6X,1,"KIT,RDYRL,2U,SLDN,SLIMFORMFACTOR,APCIS"
53,"631-AACK : No Systems Documentation, No O penManage DVD Kit",7213U,1,"INFORMATION,EDOCS-OPTION-ONLY"
54,"540-BBOD : Mellanox ConnectX-3 Pro Dual P ort 10GbE SFP+ Adapter, PCIe L ow Profile",4YRRP,1,"DISKPROGRAM,NETWORK,MLNX,REDCX3,MISCELLANEOUS"
55,"540-BBOD : Mellanox ConnectX-3 Pro Dual P ort 10GbE SFP+ Adapter, PCIe L ow Profile",MF2JC,1,"SERVICECHARGE,SOFTWARE,NETWORK,MLNX,V4,REDBO,CX3"
56,"540-BBOD : Mellanox ConnectX-3 Pro Dual P ort 10GbE SFP+ Adapter, PCIe L ow Profile",7NYRR,1,"DISKPROGRAM,NETWORK,MLNX,REDBOCX3,FIRMWARE"
57,"540-BBOD : Mellanox ConnectX-3 Pro Dual P ort 10GbE SFP+ Adapter, PCIe L ow Profile",F4DPC,1,"SERVICECHARGE,SOFTWARE,NETWORK,MLNX,V4,REDBO,LINUX"
58,"540-BBOD : Mellanox ConnectX-3 Pro Dual P ort 10GbE SFP+ Adapter, PCIe L ow Profile",YHTD6,1,"CARD(CIRCUIT),NETWORK,10G,CXP,DELLPLUS,SMALLFORMFACTORPLUGGABLE,MLNX,L"
59,"540-BBUK : Broadcom 57416 Dual Port 10GbE  BASE-T & 5720 Dual Port 1GbE BASE-T, rNDC",DR9J9,1,"SERVICECHARGE,SOFTWARE,NETWORK,BROADCOMCORPORATION,V20.8,Q4FY18"
60,"540-BBUK : Broadcom 57416 Dual Port 10GbE  BASE-T & 5720 Dual Port 1GbE BASE-T, rNDC",3TPW5,1,"DISKPROGRAM,NETWORK,BROADCOMCORPORATION,Q4FY18,FIRMWARE"
61,"540-BBUK : Broadcom 57416 Dual Port 10GbE  BASE-T & 5720 Dual Port 1GbE BASE-T, rNDC",K35H0,1,"SERVICECHARGE,SOFTWARE,NETWORK,BCME,V20.8E,Q4FY18"
62,"540-BBUK : Broadcom 57416 Dual Port 10GbE  BASE-T & 5720 Dual Port 1GbE BASE-T, rNDC",FFC69,1,"DISKPROGRAM,NETWORK,BCME,Q4FY18,FIRMWARE"
63,"540-BBUK : Broadcom 57416 Dual Port 10GbE  BASE-T & 5720 Dual Port 1GbE BASE-T, rNDC",NT1XG,1,"DISKPROGRAM,NETWORK,BROADCOMCORPORATION,Q4FY18,MISCELLANEOUS"
64,"540-BBUK : Broadcom 57416 Dual Port 10GbE  BASE-T & 5720 Dual Port 1GbE BASE-T, rNDC",W3PVJ,1,"DISKPROGRAM,NETWORK,BCME,Q4FY18,MISCELLANEOUS"
65,"540-BBUK : Broadcom 57416 Dual Port 10GbE  BASE-T & 5720 Dual Port 1GbE BASE-T, rNDC",CNX7T,1,"INFORMATION,SFP+,FACTORYFLAG"
66,"540-BBUK : Broadcom 57416 Dual Port 10GbE  BASE-T & 5720 Dual Port 1GbE BASE-T, rNDC",864KE,1,"INFORMATION,PLACEHOLDER,PIECE-PART"
67,"540-BBUK : Broadcom 57416 Dual Port 10GbE  BASE-T & 5720 Dual Port 1GbE BASE-T, rNDC",1224N,1,"CARD(CIRCUIT),NETWORK,RNDC,BRCM,10GBT"
68,611-BBBF : No Operating System,1U112,1,"SERVICECHARGE,SOFTWARE,DELLCOMPUTERCORPORATION,NULL-OS"
69,389-BTTO : PE R740XD Luggage Tag,FC54X,1,"ASSEMBLY,TRAY,W/LBLS,PLASTIC,R740XD"
70,461-AADZ : No Trusted Platform Module,D5J13,1,"INFORMATION,NO-TPM"
71,370-AAIP : Performance Optimized,74FPM,1,"INFORMATION,MEMORYBOARD,MEMORY,OPTIMIZED"
72,350-BBJV : No Quick Sync,H3HDT,1,"ASSEMBLY,LATCH,RACK,LEFT,LATITUDECP,R740/XD"
73,350-BBJV : No Quick Sync,R9445,6,"SCREW,M3X.05X4.5MM,FLATHEAD,MACHINESCREW,ZINCPLATEDSTEEL"
74,343-BBFG : PowerEdge R740 Shipping Materi al,K0Y4G,1,"KIT,SHIPPINGMATERIAL,R740"
75,343-BBFG : PowerEdge R740 Shipping Materi al,CPT5V,1,"SHIPPINGMATERIAL,OPTION,TRAY,4.00H"
76,340-BTFN : 14G OpenManage placemat,5KMX3,1,"PLACEMAT,OPENMANAGE,DROPINBOX,14G,RESTOFWORLD"
77,340-BSRW : PowerEdge R740xd Shipping (APC C/Taiwan),8V034,1,"ASSEMBLY,LABEL,REGULATORY,FCC2,R740,ASIAPACIFICCUSTOMERCENTER"
78,340-BSRW : PowerEdge R740xd Shipping (APC C/Taiwan),3H97G,1,"GUIDE,GETTINGSTARTED,R740/R740XDAPCC,CHINACUSTOMERCENTER"
79,340-BSRW : PowerEdge R740xd Shipping (APC C/Taiwan),FMPDK,1,"INFORMATION,LABEL,REGULATORY,BRIDGEINFORMATIONSYSTEMS,PACKAGE,PACKAGING,SERVER,SERVERCHASSIS"
80,340-BSRW : PowerEdge R740xd Shipping (APC C/Taiwan),5N1C1,1,"ARTWORK,LABEL,REGULATORY,BRIDGEINFORMATIONSYSTEMS,PACKAGE,PACKAGING,SERVER,SERVERCHASSIS,ASIAPACIFICCUSTOMERCENTER"
81,340-BSRW : PowerEdge R740xd Shipping (APC C/Taiwan),P084K,1,"GUIDE,EULA,APC/CCC"
82,340-BSRW : PowerEdge R740xd Shipping (APC C/Taiwan),K417K,1,"GUIDE,PRODUCT,INFORMATION,SERI,APC/CCC"
83,340-BSRW : PowerEdge R740xd Shipping (APC C/Taiwan),8DX78,1,"LABEL,BARCODE,3IN1,BLANK,ODM/FCTRY"
